UID	CINSARC
1001-90_RNAseq-CTG-2020-05-15	0.5603614925648055
10051-19_RNAseq-CTG-2021-06-24	-0.7224558321880706
10081-19_RNAseq-CTG-2021-08-30	-0.6343811362448528
101-11_RNAseq-CTG-2020-12-03	0.5440174063471195
10136-17_RNAseq-CTG-2021-06-24	0.6671719789948131
1015-01_RNAseq-CTG-2020-10-01	0.3200212226884919
10161-17_RNAseq-CTG-2021-08-30	-0.6907472029080548
10252-19_RNAseq-CTG-2021-08-30	0.6342801572662579
10265-18_RNAseq-CTG-2022-09-26	-0.38706018625759114
1027-97_RNAseq-CTG-2021-09-16	-0.697582491112764
1031-14_RNAseq-Winter-Run2-2016	0.054816750037907924
10318-18_RNAseq-CTG-2021-08-11	-0.44404270620596153
10331-17_RNAseq-CTG-2020-12-03	0.8085312916767285
104-92_RNAseq-CTG-2019-10-28	-0.5532237438190035
10458-19_RNAseq-CTG-2021-08-30	0.5960900541987605
10521-20_RNAseq-CMD-2021-04-26	-0.4820276719702386
10639-17_RNAseq-CTG-2021-08-30	-0.3703810211234198
1064-18_RNAseq-CTG-2021-08-11	0.7389324757992973
10656-17_RNAseq-CTG-2020-12-03	-0.6798874442600339
10734-18_RNAseq-CTG-2020-12-03	0.7375913932743138
1076-04_RNAseq-CTG-2021-08-11	-0.6749755814201213
10819-17_RNAseq-CTG-2020-10-01	-0.07350101951403085
1089-95_RNAseq-CTG-2021-08-11	0.5645809408284532
10989-17_RNAseq-CTG-2022-09-26	0.3145365520174516
11092-19_RNAseq-CTG-2021-08-11	0.6270399890673668
1111-06_RNAseq-CTG-2021-06-24	0.5224464377441479
1114-96_RNAseq-CTG-2021-09-16	0.7080082868348779
1116-04_RNAseq-Winter-Run2-2016	0.45446766526374416
1116-05_RNAseq-CTG-2021-08-11	-0.03740785506954672
11168-18_RNAseq-2019-02-15	-0.49772700638979694
1118-98_RNAseq-CTG-2021-09-16	-0.6612413708014239
112-96_RNAseq-CTG-2021-08-11	-0.6311212186863528
11234-19_RNAseq-CTG-2021-08-30	0.5341781040516238
11250-18_RNAseq-2019-02-15	-0.35842148609252167
11378-18_RNAseq-CTG-2020-12-03	0.26880441744131556
1139-03_RNAseq-CTG-2019-04-10	0.08589680489275467
1141-06_RNAseq-CTG-2021-09-16	0.6264853458532563
1142-02_RNAseq-CTG-2021-09-16	-0.7647544219917407
1142-17_RNAseq-CTG-2019-10-28	-0.3404146345529041
1145-08_RNAseq-CTG-2020-10-01	-0.2669501880890315
1146-14_RNAseq-2018-05-17	-0.608008397862961
1148-14_RNAseq-CTG-2019-10-28	-0.41040974429496657
